id,mean_sentiment_score,number_of_reviews,sentiment
tt0353969,0.20617999999999997,10,pos
tt0361748,0.012760000000000004,10,pos
tt0363163,0.028839999999999998,10,pos
tt0364569,-0.15193,10,neg
tt0372784,0.19525,10,pos
tt0381681,0.57874,10,pos
tt0382932,0.5573400000000001,10,pos
tt0395169,0.14264000000000002,10,pos
tt0405094,0.47633000000000003,10,pos
tt0405159,0.30501,10,pos
tt0407887,0.13927,10,pos
tt0434409,0.23058,10,pos
tt0435761,0.6276200000000001,10,pos
tt0457430,0.19116,10,pos
tt0468569,0.28013,10,pos
tt0469494,0.15478,10,pos
tt0477348,0.72514,10,pos
tt0482571,0.33377,10,pos
tt0758758,0.39941,10,pos
tt0816692,0.49018999999999996,10,pos
tt0892769,0.42813,10,pos
tt0910970,0.57447,10,pos
tt0993846,-0.06505000000000001,10,neg
tt10272386,-0.10166,10,neg
tt10366206,0.36017,10,pos
tt1049413,0.51852,10,pos
tt10872600,0.41023999999999994,10,pos
tt1130884,0.29304,10,pos
tt1187043,0.35275,4,pos
tt1201607,0.7218600000000001,10,pos
tt1205489,0.30152999999999996,10,pos
tt1255953,0.09960000000000002,10,pos
tt1291584,0.38744999999999996,10,pos
tt1305806,0.26435,10,pos
tt1345836,0.39041000000000003,10,pos
tt1375666,0.32637,10,pos
tt1392190,-0.26215,10,neg
tt1392214,-0.011749999999999988,10,neg
tt1454029,0.33596,10,pos
tt1675434,0.30233,10,pos
tt1745960,0.6242099999999999,10,pos
tt1832382,0.29577,10,pos
tt1853728,0.16648999999999997,10,pos
tt1895587,0.4101,10,pos
tt1950186,0.45568,10,pos
tt1979320,0.4843,10,pos
tt2024544,0.1869,10,pos
tt2096673,0.67247,10,pos
tt2106476,0.11931000000000003,10,pos
tt2119532,0.40926,10,pos
tt2267998,0.20814,10,pos
tt2278388,0.5629799999999999,10,pos
tt2380307,0.67161,10,pos
tt2582802,0.24000000000000005,10,pos
tt3011894,0.29497,10,pos
tt3170832,0.32348999999999994,10,pos
tt3315342,0.20497,10,pos
tt4016934,0.44597999999999993,10,pos
tt4154756,0.28834,10,pos
tt4154796,0.67409,10,pos
tt4633694,0.3179,10,pos
tt4729430,0.46991999999999995,10,pos
tt5027774,0.52731,10,pos
tt5311514,0.5565599999999999,10,pos
tt6751668,0.05315000000000001,10,pos
tt6966692,0.64707,10,pos
tt7286456,0.18716,10,pos
tt8267604,0.2068,10,pos
tt8503618,0.39540000000000003,10,pos
tt8579674,0.24409,10,pos
