id,rank,title_en,year,rating,film_title_cleaned,num_votes,director,actor1,actor2,film_age,collaboration1,collaboration2
tt0021749,52,City Lights,1931,8.4,citylights,188052,Charles Chaplin, Charles Chaplin,Virginia Cherrill,92,Charles Chaplin -  Charles Chaplin - 5,Charles Chaplin - Virginia Cherrill - 1
tt0078788,53,Apocalypse Now,1979,8.4,apocalypsenow,680240,Francis Ford Coppola, Martin Sheen,Marlon Brando,44,Francis Ford Coppola -  Martin Sheen - 1,Francis Ford Coppola - Marlon Brando - 1
tt0209144,54,Memento,2000,8.4,memento,1259858,Christopher Nolan, Guy Pearce,Carrie-Anne Moss,23,Christopher Nolan -  Guy Pearce - 1,Christopher Nolan - Carrie-Anne Moss - 1
tt1853728,55,Django Unchained,2012,8.4,djangounchained,1593081,Quentin Tarantino, Jamie Foxx,Christoph Waltz,11,Quentin Tarantino -  Jamie Foxx - 1,Quentin Tarantino - Christoph Waltz - 1
tt0082971,56,Raiders of the Lost Ark,1981,8.4,raidersofthelostark,983320,Steven Spielberg, Harrison Ford,Karen Allen,42,Steven Spielberg -  Harrison Ford - 2,Steven Spielberg - Karen Allen - 1
tt0910970,57,WALL·E,2008,8.4,walle,1138877,Andrew Stanton, Ben Burtt,Elissa Knight,15,Andrew Stanton -  Ben Burtt - 1,Andrew Stanton - Elissa Knight - 1
tt0405094,58,The Lives of Others,2006,8.4,thelivesofothers,395757,Florian Henckel von Donnersmarck, Ulrich Mühe,Martina Gedeck,17,Florian Henckel von Donnersmarck -  Ulrich Mühe - 1,Florian Henckel von Donnersmarck - Martina Gedeck - 1
tt0043014,59,Sunset Blvd.,1950,8.4,sunsetblvd,226238,Billy Wilder, William Holden,Gloria Swanson,73,Billy Wilder -  William Holden - 1,Billy Wilder - Gloria Swanson - 1
tt0050825,60,Paths of Glory,1957,8.4,pathsofglory,201648,Stanley Kubrick, Kirk Douglas,Ralph Meeker,66,Stanley Kubrick -  Kirk Douglas - 1,Stanley Kubrick - Ralph Meeker - 1
tt0081505,61,The Shining,1980,8.4,theshining,1045298,Stanley Kubrick, Jack Nicholson,Shelley Duvall,43,Stanley Kubrick -  Jack Nicholson - 1,Stanley Kubrick - Shelley Duvall - 1
tt0032553,62,The Great Dictator,1940,8.4,thegreatdictator,228067,Charles Chaplin, Charles Chaplin,Paulette Goddard,83,Charles Chaplin -  Charles Chaplin - 5,Charles Chaplin - Paulette Goddard - 2
tt4154756,63,Avengers: Infinity War,2018,8.4,avengersinfinitywar,1116178,Anthony Russo, Robert Downey Jr.,Chris Hemsworth,5,Anthony Russo -  Robert Downey Jr. - 2,Anthony Russo - Chris Hemsworth - 1
tt0051201,64,Witness for the Prosecution,1957,8.4,witnessfortheprosecution,129002,Billy Wilder, Tyrone Power,Marlene Dietrich,66,Billy Wilder -  Tyrone Power - 1,Billy Wilder - Marlene Dietrich - 1
tt0090605,65,Aliens,1986,8.3,aliens,730462,James Cameron, Sigourney Weaver,Michael Biehn,37,James Cameron -  Sigourney Weaver - 1,James Cameron - Michael Biehn - 1
tt4633694,66,Spider-Man: Into the Spider-Verse,2018,8.3,spidermanintothespiderverse,558222,Bob Persichetti, Shameik Moore,Jake Johnson,5,Bob Persichetti -  Shameik Moore - 1,Bob Persichetti - Jake Johnson - 1
tt0169547,67,American Beauty,1999,8.3,americanbeauty,1171145,Sam Mendes, Kevin Spacey,Annette Bening,24,Sam Mendes -  Kevin Spacey - 1,Sam Mendes - Annette Bening - 1
tt0057012,68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,drstrangeloveorhowilearnedtostopworryingandlovethebomb,499090,Stanley Kubrick, Peter Sellers,George C. Scott,59,Stanley Kubrick -  Peter Sellers - 1,Stanley Kubrick - George C. Scott - 1
tt1345836,69,The Dark Knight Rises,2012,8.3,thedarkknightrises,1736066,Christopher Nolan, Christian Bale,Tom Hardy,11,Christopher Nolan -  Christian Bale - 4,Christopher Nolan - Tom Hardy - 1
tt0361748,70,Inglourious Basterds,2009,8.3,inglouriousbasterds,1485936,Quentin Tarantino, Brad Pitt,Diane Kruger,14,Quentin Tarantino -  Brad Pitt - 1,Quentin Tarantino - Diane Kruger - 1
tt0364569,71,Oldboy,2003,8.3,oldboy,593816,Park Chan-wook, Choi Min-sik,Yoo Ji-tae,20,Park Chan-wook -  Choi Min-sik - 1,Park Chan-wook - Yoo Ji-tae - 1
tt0086879,72,Amadeus,1984,8.3,amadeus,408689,Milos Forman, F. Murray Abraham,Tom Hulce,39,Milos Forman -  F. Murray Abraham - 1,Milos Forman - Tom Hulce - 1
tt2380307,73,Coco,2017,8.3,coco,530438,Lee Unkrich, Anthony Gonzalez,Gael García Bernal,6,Lee Unkrich -  Anthony Gonzalez - 1,Lee Unkrich - Gael García Bernal - 1
tt0114709,74,Toy Story,1995,8.3,toystory,1014433,John Lasseter, Tom Hanks,Tim Allen,28,John Lasseter -  Tom Hanks - 1,John Lasseter - Tim Allen - 1
tt0112573,75,Braveheart,1995,8.3,braveheart,1053223,Mel Gibson, Mel Gibson,Sophie Marceau,28,Mel Gibson -  Mel Gibson - 1,Mel Gibson - Sophie Marceau - 1
tt7286456,76,Joker,2019,8.3,joker,1345233,Todd Phillips, Joaquin Phoenix,Robert De Niro,4,Todd Phillips -  Joaquin Phoenix - 1,Todd Phillips - Robert De Niro - 1
tt0082096,77,Das Boot,1981,8.3,dasboot,255043,Wolfgang Petersen, Jürgen Prochnow,Herbert Grönemeyer,42,Wolfgang Petersen -  Jürgen Prochnow - 1,Wolfgang Petersen - Herbert Grönemeyer - 1
tt4154796,78,Avengers: Endgame,2019,8.3,avengersendgame,1172265,Anthony Russo, Robert Downey Jr.,Chris Evans,4,Anthony Russo -  Robert Downey Jr. - 2,Anthony Russo - Chris Evans - 1
tt0119698,79,Princess Mononoke,1997,8.3,princessmononoke,405064,Hayao Miyazaki, Yôji Matsuda,Yuriko Ishida,26,Hayao Miyazaki -  Yôji Matsuda - 1,Hayao Miyazaki - Yuriko Ishida - 1
tt0119217,80,Good Will Hunting,1997,8.3,goodwillhunting,999292,Gus Van Sant, Robin Williams,Matt Damon,26,Gus Van Sant -  Robin Williams - 1,Gus Van Sant - Matt Damon - 1
tt0087843,81,Once Upon a Time in America,1984,8.3,onceuponatimeinamerica,359108,Sergio Leone, Robert De Niro,James Woods,39,Sergio Leone -  Robert De Niro - 1,Sergio Leone - James Woods - 1
tt5311514,82,Your Name.,2016,8.3,yourname,283934,Makoto Shinkai, Ryunosuke Kamiki,Mone Kamishiraishi,7,Makoto Shinkai -  Ryunosuke Kamiki - 1,Makoto Shinkai - Mone Kamishiraishi - 1
tt0045152,83,Singin' in the Rain,1952,8.3,singinintherain,248149,Stanley Donen, Gene Kelly,Donald O'Connor,71,Stanley Donen -  Gene Kelly - 1,Stanley Donen - Donald O'Connor - 1
tt1187043,84,3 Idiots,2009,8.3,3idiots,409539,Rajkumar Hirani, Aamir Khan,Madhavan,14,Rajkumar Hirani -  Aamir Khan - 1,Rajkumar Hirani - Madhavan - 1
tt0180093,85,Requiem for a Dream,2000,8.3,requiemforadream,859165,Darren Aronofsky, Ellen Burstyn,Jared Leto,23,Darren Aronofsky -  Ellen Burstyn - 1,Darren Aronofsky - Jared Leto - 1
tt0057565,86,High and Low,1963,8.3,highandlow,47493,Akira Kurosawa, Toshirô Mifune,Yutaka Sada,60,Akira Kurosawa -  Toshirô Mifune - 4,Akira Kurosawa - Yutaka Sada - 1
tt0435761,87,Toy Story 3,2010,8.3,toystory3,852331,Lee Unkrich, Tom Hanks,Tim Allen,13,Lee Unkrich -  Tom Hanks - 1,Lee Unkrich - Tim Allen - 1
tt8267604,88,Capernaum,2018,8.3,capernaum,94450,Nadine Labaki, Zain Al Rafeea,Yordanos Shiferaw,5,Nadine Labaki -  Zain Al Rafeea - 1,Nadine Labaki - Yordanos Shiferaw - 1
tt0086190,89,Star Wars: Episode VI - Return of the Jedi,1983,8.3,starwarsepisodevireturnofthejedi,1073758,Richard Marquand, Mark Hamill,Harrison Ford,40,Richard Marquand -  Mark Hamill - 1,Richard Marquand - Harrison Ford - 1
tt0062622,90,2001: A Space Odyssey,1968,8.3,2001aspaceodyssey,683092,Stanley Kubrick, Keir Dullea,Gary Lockwood,55,Stanley Kubrick -  Keir Dullea - 1,Stanley Kubrick - Gary Lockwood - 1
tt0338013,91,Eternal Sunshine of the Spotless Mind,2004,8.3,eternalsunshineofthespotlessmind,1028156,Michel Gondry, Jim Carrey,Kate Winslet,19,Michel Gondry -  Jim Carrey - 1,Michel Gondry - Kate Winslet - 1
tt0091251,92,Come and See,1985,8.3,comeandsee,85075,Elem Klimov, Aleksey Kravchenko,Olga Mironova,38,Elem Klimov -  Aleksey Kravchenko - 1,Elem Klimov - Olga Mironova - 1
tt0105236,93,Reservoir Dogs,1992,8.3,reservoirdogs,1039651,Quentin Tarantino, Harvey Keitel,Tim Roth,31,Quentin Tarantino -  Harvey Keitel - 1,Quentin Tarantino - Tim Roth - 1
tt2106476,94,The Hunt,2012,8.3,thehunt,339870,Thomas Vinterberg, Mads Mikkelsen,Thomas Bo Larsen,11,Thomas Vinterberg -  Mads Mikkelsen - 1,Thomas Vinterberg - Thomas Bo Larsen - 1
tt0056172,95,Lawrence of Arabia,1962,8.2,lawrenceofarabia,300241,David Lean, Peter O'Toole,Alec Guinness,61,David Lean -  Peter O'Toole - 1,David Lean - Alec Guinness - 2
tt0033467,96,Citizen Kane,1941,8.2,citizenkane,449491,Orson Welles, Orson Welles,Joseph Cotten,82,Orson Welles -  Orson Welles - 1,Orson Welles - Joseph Cotten - 1
tt0022100,97,M,1931,8.2,m,161277,Fritz Lang, Peter Lorre,Ellen Widmann,92,Fritz Lang -  Peter Lorre - 1,Fritz Lang - Ellen Widmann - 1
tt0044741,98,Ikiru,1952,8.2,ikiru,81420,Akira Kurosawa, Takashi Shimura,Nobuo Kaneko,71,Akira Kurosawa -  Takashi Shimura - 1,Akira Kurosawa - Nobuo Kaneko - 1
tt0053125,99,North by Northwest,1959,8.2,northbynorthwest,333753,Alfred Hitchcock, Cary Grant,Eva Marie Saint,64,Alfred Hitchcock -  Cary Grant - 1,Alfred Hitchcock - Eva Marie Saint - 1
tt0053604,100,The Apartment,1960,8.2,theapartment,186018,Billy Wilder, Jack Lemmon,Shirley MacLaine,63,Billy Wilder -  Jack Lemmon - 1,Billy Wilder - Shirley MacLaine - 1
tt0052357,101,Vertigo,1958,8.2,vertigo,409799,Alfred Hitchcock, James Stewart,Kim Novak,65,Alfred Hitchcock -  James Stewart - 2,Alfred Hitchcock - Kim Novak - 1
tt0211915,102,Amélie,2001,8.2,amlie,768034,Jean-Pierre Jeunet, Audrey Tautou,Mathieu Kassovitz,22,Jean-Pierre Jeunet -  Audrey Tautou - 1,Jean-Pierre Jeunet - Mathieu Kassovitz - 1
tt0036775,103,Double Indemnity,1944,8.2,doubleindemnity,160420,Billy Wilder, Fred MacMurray,Barbara Stanwyck,79,Billy Wilder -  Fred MacMurray - 1,Billy Wilder - Barbara Stanwyck - 1
tt0066921,104,A Clockwork Orange,1971,8.2,aclockworkorange,845475,Stanley Kubrick, Malcolm McDowell,Patrick Magee,52,Stanley Kubrick -  Malcolm McDowell - 1,Stanley Kubrick - Patrick Magee - 1
tt0093058,105,Full Metal Jacket,1987,8.2,fullmetaljacket,756383,Stanley Kubrick, Matthew Modine,R. Lee Ermey,36,Stanley Kubrick -  Matthew Modine - 1,Stanley Kubrick - R. Lee Ermey - 1
tt0086250,106,Scarface,1983,8.2,scarface,862554,Brian De Palma, Al Pacino,Michelle Pfeiffer,40,Brian De Palma -  Al Pacino - 1,Brian De Palma - Michelle Pfeiffer - 1
tt1255953,107,Incendies,2010,8.2,incendies,183015,Denis Villeneuve, Lubna Azabal,Mélissa Désormeaux-Poulin,13,Denis Villeneuve -  Lubna Azabal - 1,Denis Villeneuve - Mélissa Désormeaux-Poulin - 1
tt8503618,108,Hamilton,2020,8.2,hamilton,100574,Thomas Kail, Lin-Manuel Miranda,Phillipa Soo,3,Thomas Kail -  Lin-Manuel Miranda - 1,Thomas Kail - Phillipa Soo - 1
tt0113277,109,Heat,1995,8.2,heat,671005,Michael Mann, Al Pacino,Robert De Niro,28,Michael Mann -  Al Pacino - 1,Michael Mann - Robert De Niro - 1
tt1049413,110,Up,2009,8.2,up,1065593,Pete Docter, Edward Asner,Jordan Nagai,14,Pete Docter -  Edward Asner - 1,Pete Docter - Jordan Nagai - 1
tt0056592,111,To Kill a Mockingbird,1962,8.2,tokillamockingbird,321478,Robert Mulligan, Gregory Peck,John Megna,61,Robert Mulligan -  Gregory Peck - 1,Robert Mulligan - John Megna - 1
tt0070735,112,The Sting,1973,8.2,thesting,268887,George Roy Hill, Paul Newman,Robert Redford,50,George Roy Hill -  Paul Newman - 1,George Roy Hill - Robert Redford - 1
tt1832382,113,A Separation,2011,8.2,aseparation,248906,Asghar Farhadi, Payman Maadi,Leila Hatami,12,Asghar Farhadi -  Payman Maadi - 1,Asghar Farhadi - Leila Hatami - 1
tt0017136,114,Metropolis,1927,8.2,metropolis,177801,Fritz Lang, Brigitte Helm,Alfred Abel,96,Fritz Lang -  Brigitte Helm - 1,Fritz Lang - Alfred Abel - 1
tt0119488,115,L.A. Confidential,1997,8.2,laconfidential,591752,Curtis Hanson, Kevin Spacey,Russell Crowe,26,Curtis Hanson -  Kevin Spacey - 1,Curtis Hanson - Russell Crowe - 1
tt0095016,116,Die Hard,1988,8.2,diehard,899155,John McTiernan, Bruce Willis,Alan Rickman,35,John McTiernan -  Bruce Willis - 1,John McTiernan - Alan Rickman - 1
tt0075314,117,Taxi Driver,1976,8.2,taxidriver,859718,Martin Scorsese, Robert De Niro,Jodie Foster,47,Martin Scorsese -  Robert De Niro - 4,Martin Scorsese - Jodie Foster - 1
tt0097576,118,Indiana Jones and the Last Crusade,1989,8.2,indianajonesandthelastcrusade,768850,Steven Spielberg, Harrison Ford,Sean Connery,34,Steven Spielberg -  Harrison Ford - 2,Steven Spielberg - Sean Connery - 1
tt0208092,119,Snatch,2000,8.2,snatch,871511,Guy Ritchie, Jason Statham,Brad Pitt,23,Guy Ritchie -  Jason Statham - 1,Guy Ritchie - Brad Pitt - 1
tt0040522,120,Bicycle Thieves,1948,8.2,bicyclethieves,167063,Vittorio De Sica, Lamberto Maggiorani,Enzo Staiola,75,Vittorio De Sica -  Lamberto Maggiorani - 1,Vittorio De Sica - Enzo Staiola - 1
tt0986264,121,Like Stars on Earth,2007,8.2,likestarsonearth,197426,Aamir Khan, Darsheel Safary,Aamir Khan,16,Aamir Khan -  Darsheel Safary - 1,Aamir Khan - Aamir Khan - 1
tt8579674,122,1917,2019,8.2,1917,616895,Sam Mendes, Dean-Charles Chapman,George MacKay,4,Sam Mendes -  Dean-Charles Chapman - 1,Sam Mendes - George MacKay - 1
