year,movie,number_W,number_N,number_W+N
1942,ladiesinretirement,0,2,2
1981,resurrection,0,2,2
2018,beautyandthebeast,0,2,2
1981,thecompetition,0,2,2
1942,buckprivates,0,2,2
1942,thedevilandmissjones,0,2,2
2017,rogueoneastarwarsstory,0,2,2
1981,alteredstates,0,2,2
1943,captainsoftheclouds,0,2,2
2017,deepwaterhorizon,0,2,2
2017,florencefosterjenkins,0,2,2
2017,passengers,0,2,2
1942,youllnevergetrich,0,2,2
2017,kuboandthetwostrings,0,2,2
1942,topperreturns,0,2,2
1990,dotherightthing,0,2,2
1942,alomaofthesouthseas,0,2,2
1980,themuppetmovie,0,2,2
1942,allamericancoed,0,2,2
1941,secondchorus,0,2,2
2018,victoriaabdul,0,2,2
1941,onemillionbc,0,2,2
1982,dragonslayer,0,2,2
1941,hitparadeof1941,0,2,2
1989,runningonempty,0,2,2
1941,boomtown,0,2,2
1941,bittersweet,0,2,2
1941,arizona,0,2,2
1941,abelincolninillinois,0,2,2
1941,thebluebird,0,2,2
1941,theboysfromsyracuse,0,2,2
1941,thedarkcommand,0,2,2
1989,willow,0,2,2
2018,thepost,0,2,2
1941,waterloobridge,0,2,2
1989,theunbearablelightnessofbeing,0,2,2
1941,thehowardsofvirginia,0,2,2
1943,flyingwithmusic,0,2,2
2017,amancalledove,0,2,2
1946,athousandandonenights,0,2,2
1945,mrskeffington,0,2,2
1945,minstrelman,0,2,2
1945,ladyletsdance,0,2,2
2015,guardiansofthegalaxy,0,2,2
1979,autumnsonata,0,2,2
1945,ithappenedtomorrow,0,2,2
2015,inherentvice,0,2,2
1945,higherandhigher,0,2,2
1945,dragonseed,0,2,2
1991,homealone,0,2,2
1945,addressunknown,0,2,2
1991,hamlet,0,2,2
1945,mrsparkington,0,2,2
1991,postcardsfromtheedge,0,2,2
1945,upinarms,0,2,2
1978,thatobscureobjectofdesire,0,2,2
2014,thegrandmaster,0,2,2
2014,theloneranger,0,2,2
1945,voiceinthewind,0,2,2
1945,songoftheopenroad,0,2,2
1978,theslipperandtherosethestoryofcinderella,0,2,2
1945,theprincessandthepirate,0,2,2
2015,wild,0,2,2
1944,theskysthelimit,0,2,2
1943,thegoldrush,0,2,2
1943,silverqueen,0,2,2
1943,roadtomorocco,0,2,2
1943,oneofouraircraftismissing,0,2,2
1980,startingover,0,2,2
1980,theblackhole,0,2,2
1990,shirleyvalentine,0,2,2
1990,parenthood,0,2,2
1943,theshanghaigesture,0,2,2
1980,manhattan,0,2,2
1944,inwhichweserve,0,2,2
1944,starspangledrhythm,0,2,2
1944,stagedoorcanteen,0,2,2
1944,somethingtoshoutabout,0,2,2
1944,inoldoklahoma,0,2,2
2016,stevejobs,0,2,2
1944,hitparadeof1943,0,2,2
1980,10,0,2,2
1944,hangmenalsodie,0,2,2
1980,andjusticeforall,0,2,2
1989,littledorrit,0,2,2
1940,thehunchbackofnotredame,0,2,2
2022,theworstpersonintheworld,0,2,2
1985,broadwaydannyrose,0,2,2
1935,flirtationwalk,0,2,2
1985,footloose,0,2,2
1985,ghostbusters,0,2,2
1934,statefair,0,2,2
2022,parallelmothers,0,2,2
1934,42ndstreet,0,2,2
1985,thebostonians,0,2,2
1987,salvador,0,2,2
1985,thecottonclub,0,2,2
1935,thebarrettsofwimpolestreet,0,2,2
1936,broadwaymelodyof1936,0,2,2
2021,pinocchio,0,2,2
1984,zelig,0,2,2
1988,aurevoirlesenfantsgoodbyechildren,0,2,2
1935,thewhiteparade,0,2,2
1936,aliceadams,0,2,2
2022,ticktickboom,0,2,2
1940,thegreatvictorherbert,0,2,2
1931,bulldogdrummond,0,2,2
1930,thevaliant,0,2,2
1986,silverado,0,2,2
1930,streetangel,0,2,2
1930,ourdancingdaughters,0,2,2
1930,madamex,0,2,2
1929,thecrowd,0,2,2
2023,living,0,2,2
1986,murphysromance,0,2,2
1932,holiday,0,2,2
1985,underthevolcano,0,2,2
1932,svengali,0,2,2
1987,littleshopofhorrors,0,2,2
1931,romance,0,2,2
1987,hoosiers,0,2,2
1986,brazil,0,2,2
1986,ladyhawke,0,2,2
2021,onenightinmiami,0,2,2
2021,mulan,0,2,2
1937,ataleoftwocities,0,2,2
1937,borntodance,0,2,2
1983,bladerunner,0,2,2
1939,thegoldwynfollies,0,2,2
1939,thatcertainage,0,2,2
1939,sweethearts,0,2,2
1983,frances,0,2,2
1983,latraviata,0,2,2
1939,blockade,0,2,2
2019,theballadofbusterscruggs,0,2,2
1989,big,0,2,2
1939,vivaciouslady,0,2,2
1989,comingtoamerica,0,2,2
1940,gulliverstravels,0,2,2
1940,firstlove,0,2,2
2019,isleofdogs,0,2,2
1940,beaugeste,0,2,2
2019,maryqueenofscots,0,2,2
1940,babesinarms,0,2,2
2019,neverlookaway,0,2,2
1983,annie,0,2,2
2020,honeyland,0,2,2
1938,walterwangersvoguesof1938,0,2,2
1937,winterset,0,2,2
1937,theodoragoeswild,0,2,2
1937,thegorgeoushussy,0,2,2
1988,ironweed,0,2,2
2021,boratsubsequentmoviefilmdeliveryofprodigiousbribetoamericanregimeformakebenefitoncegloriousnationofkazakhstan,0,2,2
2021,collective,0,2,2
1984,reubenreuben,0,2,2
1937,lloydsoflondon,0,2,2
2021,emma,0,2,2
2021,hillbillyelegy,0,2,2
1988,mylifeasadog,0,2,2
1983,theworldaccordingtogarp,0,2,2
1938,topper,0,2,2
1938,theprisonerofzenda,0,2,2
1988,thewitchesofeastwick,0,2,2
1938,stelladallas,0,2,2
1983,tron,0,2,2
1938,nightmustfall,0,2,2
1988,radiodays,0,2,2
1938,maytime,0,2,2
2020,painandglory,0,2,2
1988,thedead,0,2,2
1938,conquest,0,2,2
1946,amedalforbenny,0,2,2
1951,themagnificentyankee,0,2,2
2010,fantasticmrfox,0,2,2
2010,thewhiteribbon,0,2,2
1951,theflameandthearrow,0,2,2
1992,friedgreentomatoes,0,2,2
1948,kissofdeath,0,2,2
1949,theemperorwaltz,0,2,2
2013,flight,0,2,2
1947,notorious,0,2,2
1947,thegreenyears,0,2,2
1993,thebodyguard,0,2,2
1993,undersiege,0,2,2
1946,theywereexpendable,0,2,2
1978,airport77,0,2,2
1946,tonightandeverynight,0,2,2
1994,farewellmyconcubine,0,2,2
1977,carrie,0,2,2
1946,whygirlsleavehome,0,2,2
2013,snowwhiteandthehuntsman,0,2,2
1976,thewindandthelion,0,2,2
2012,extremelyloudincrediblyclose,0,2,2
1948,smashupthestoryofawoman,0,2,2
2012,myweekwithmarilyn,0,2,2
2011,biutiful,0,2,2
1948,mourningbecomeselectra,0,2,2
1992,startrekvitheundiscoveredcountry,0,2,2
1947,duelinthesun,0,2,2
1975,thelittleprince,0,2,2
2010,thelaststation,0,2,2
1947,blueskies,0,2,2
1992,ramblingrose,0,2,2
1977,thesevenpercentsolution,0,2,2
1947,centennialsummer,0,2,2
1950,myfoolishheart,0,2,2
2010,sherlockholmes,0,2,2
2011,howtotrainyourdragon,0,2,2
2010,invictus,0,2,2
1950,princeoffoxes,0,2,2
1976,tommy,0,2,2
1976,bitethebullet,0,2,2
1993,toys,0,2,2
1993,batmanreturns,0,2,2
1976,amarcord,0,2,2
1977,theincrediblesarah,0,2,2
1993,basicinstinct,0,2,2
2011,harrypotterandthedeathlyhallowspart1,0,2,2
2010,themessenger,0,2,2
2010,aseriousman,0,2,2
1976,thedayofthelocust,0,2,2
1977,kingkong,0,2,2
2009,thewrestler,0,2,2
1978,lookingformrgoodbar,0,2,2
2014,despicableme2,0,2,2
1949,whenmybabysmilesatme,0,2,2
1946,rhapsodyinblue,0,2,2
1952,decisionbeforedawn,0,2,2
1976,scentofawoman,0,2,2
1952,brightvictory,0,2,2
1992,capefear,0,2,2
1946,sanantonio,0,2,2
2014,insidellewyndavis,0,2,2
1993,malcolmx,0,2,2
1975,youngfrankenstein,0,2,2
1946,belleoftheyukon,0,2,2
1946,canthelpsinging,0,2,2
1993,husbandsandwives,0,2,2
1993,lorenzosoil,0,2,2
1994,shadowlands,0,2,2
1978,petesdragon,0,2,2
1993,hoffa,0,2,2
2014,lonesurvivor,0,2,2
1949,romanceonthehighseas,0,2,2
1949,redriver,0,2,2
1946,flameofbarbarycoast,0,2,2
1950,thefallenidol,0,2,2
2009,wanted,0,2,2
2010,theimaginariumofdoctorparnassus,0,2,2
1946,thevalleyofdecision,0,2,2
1949,aforeignaffair,0,2,2
1946,thethreecaballeros,0,2,2
1993,passionfish,0,2,2
1975,awomanundertheinfluence,0,2,2
1977,logansrun,0,2,2
1992,boyznthehood,0,2,2
2014,augustosagecounty,0,2,2
1977,facetoface,0,2,2
1994,orlando,0,2,2
1946,thecornisgreen,0,2,2
1978,aspecialday,0,2,2
1988,lethalweapon,0,1,1
1988,radiobikini,0,1,1
1998,beyondsilence,0,1,1
1993,whenabortionwasillegaluntoldstories,0,1,1
1998,dancelexiedance,0,1,1
1988,hellfireajourneyfromhiroshima,0,1,1
1988,makingwaves,0,1,1
1988,intheweeweehours,0,1,1
1988,predator,0,1,1
1988,maurice,0,1,1
1988,pathfinder,0,1,1
1988,matewan,0,1,1
1988,happynewyear,0,1,1
1998,colorsstraightup,0,1,1
1988,mannequin,0,1,1
1988,languagesaysitall,0,1,1
1993,thesandman,0,1,1
1998,contact,0,1,1
1998,4littlegirls,0,1,1
1998,aynrandasenseoflife,0,1,1
1993,screenplay,0,1,1
1993,schtonk,0,1,1
1993,recirecireciwordswordswords,0,1,1
1993,musicforthemoviesbernardherrmann,0,1,1
1993,themambokings,0,1,1
1995,complaintsofadutifuldaughter,0,1,1
1995,ddayremembered,0,1,1
1989,acryinthedark,0,1,1
1995,eatdrinkmanwoman,0,1,1
1995,farinelliilcastrato,0,1,1
1993,mrsaturdaynight,0,1,1
1989,ahandfulofdust,0,1,1
1989,bagdadcafe,0,1,1
1993,lovefield,0,1,1
1989,beaches,0,1,1
1993,liberatorsfightingontwofrontsinworldwarii,0,1,1
1995,blueshighway,0,1,1
1993,swansong,0,1,1
1988,shoeshine,0,1,1
1988,silverintogold,0,1,1
1988,streetsmart,0,1,1
1988,thefamily,0,1,1
1993,thelover,0,1,1
1998,amazon,0,1,1
1998,alaskaspiritofthewild,0,1,1
1988,theprincessbride,0,1,1
1993,theladyinwaiting,0,1,1
1988,thewhalesofaugust,0,1,1
1993,thecoloursofmyfatheraportraitofsamborenstein,0,1,1
1995,89mmodeuropy89mmfromeurope,0,1,1
1998,afterglow,0,1,1
1988,throwmommafromthetrain,0,1,1
1995,agreatdayinharlem,0,1,1
1995,beforetherain,0,1,1
1988,yourface,0,1,1
1988,goodmorningvietnam,0,1,1
1996,allthingsfair,0,1,1
1998,daughterofthebride,0,1,1
1987,lovestruck,0,1,1
1987,mysweetlittlevillage,0,1,1
1987,mybeautifullaundrette,0,1,1
1994,downonthewaterfront,0,1,1
1987,monalisa,0,1,1
1987,luxojr,0,1,1
1994,themightyriver,0,1,1
1998,wolfgang,0,1,1
1987,legend,0,1,1
1994,fearless,0,1,1
1994,forbetterorforworse,0,1,1
1994,geronimoanamericanlegend,0,1,1
1987,otello,0,1,1
1994,dave,0,1,1
1994,chicksinwhitesatin,0,1,1
1994,beethovens2nd,0,1,1
1998,thethief,0,1,1
1987,standbyme,0,1,1
1987,sam,0,1,1
1994,blindscape,0,1,1
1994,bloodtiesthelifeandworkofsallymann,0,1,1
1998,uleesgold,0,1,1
1994,childrenoffate,0,1,1
1998,wacotherulesofengagement,0,1,1
1994,thenightmarebeforechristmas,0,1,1
1987,redgroomssunflowerinahothouse,0,1,1
1987,poltergeistiitheotherside,0,1,1
1987,pirates,0,1,1
1994,heddwyn,0,1,1
1987,heartbreakridge,0,1,1
1994,poeticjustice,0,1,1
1994,thebroadcasttapesofdrpeter,0,1,1
1994,searchingforbobbyfischer,0,1,1
1987,exit,0,1,1
1994,smalltalk,0,1,1
1994,shortcuts,0,1,1
1999,aplaceintheland,0,1,1
1999,americanhistoryx,0,1,1
1994,partners,0,1,1
1999,abugslife,0,1,1
1987,38,0,1,1
1987,anamericantail,0,1,1
1987,bettyblue,0,1,1
1987,bluevelvet,0,1,1
1994,thedutchmaster,0,1,1
1987,crocodiledundee,0,1,1
1987,debonairdancers,0,1,1
1994,addamsfamilyvalues,0,1,1
1987,thatslife,0,1,1
1987,theclanofthecavebear,0,1,1
1998,lavieilledameetlespigeonstheoldladyandthepigeons,0,1,1
1998,itsgoodtotalk,0,1,1
1998,jackiebrown,0,1,1
1988,darkeyes,0,1,1
1988,coursecompleted,0,1,1
1988,beverlyhillscopii,0,1,1
1988,astitchfortime,0,1,1
1988,anna,0,1,1
1994,whatseatinggilbertgrape,0,1,1
1998,inout,0,1,1
1988,eyesontheprizeamericascivilrightsyearsbridgetofreedom1965,0,1,1
1988,francessteloffmemoirsofabookseller,0,1,1
1998,hercules,0,1,1
1998,gattaca,0,1,1
1998,fourdaysinseptember,0,1,1
1998,famousfred,0,1,1
1998,faceoff,0,1,1
1998,donniebrasco,0,1,1
1988,fullmetaljacket,0,1,1
1998,deconstructingharry,0,1,1
1988,gabyatruestory,0,1,1
1988,georgeandrosemary,0,1,1
1998,themermaid,0,1,1
1987,themastersofdisaster,0,1,1
1998,sweethearts,0,1,1
1998,theapostle,0,1,1
1998,thefifthelement,0,1,1
1994,thescentofgreenpapaya,0,1,1
1987,themorningafter,0,1,1
1987,thekaratekidpartii,0,1,1
1987,thefrogthedogandthedevil,0,1,1
1998,thelostworldjurassicpark,0,1,1
1987,thedeclineoftheamericanempire,0,1,1
1998,stillkickingthefabulouspalmspringsfollies,0,1,1
1998,starshiptroopers,0,1,1
1994,thescrewlavis,0,1,1
1998,secretsoftheheart,0,1,1
1998,reduxridinghood,0,1,1
1994,thevillage,0,1,1
1998,oscarandlucinda,0,1,1
1998,mybestfriendswedding,0,1,1
1994,thewarroom,0,1,1
1994,theweddingbanquet,0,1,1
1993,cruisecontrol,0,1,1
1996,thestarmaker,0,1,1
1996,theshadowofhate,0,1,1
1996,troublesomecreekamidwestern,0,1,1
1990,yadvashempreservingthepasttoensurethefuture,0,1,1
1996,tuesdaymorningride,0,1,1
1992,lastbreezeofsummer,0,1,1
1990,whenharrymetsally,0,1,1
1992,doingtimelifeinsidethebighouse,0,1,1
1992,europaeuropa,0,1,1
1996,shanghaitriad,0,1,1
1991,1201pm,0,1,1
1996,theamericanpresident,0,1,1
1996,thebattleovercitizenkane,0,1,1
1992,fortheboys,0,1,1
1996,thelivingsea,0,1,1
1992,grandcanyon,0,1,1
1996,thebridgesofmadisoncounty,0,1,1
1996,thechickenfromouterspace,0,1,1
1996,theend,0,1,1
1996,unstrungheroes,0,1,1
1990,whathappenedtosantiago,0,1,1
1990,waltzingregitze,0,1,1
1995,triangle,0,1,1
1992,robinhoodprinceofthieves,0,1,1
1990,superchiefthelifeandlegacyofearlwarren,0,1,1
1990,valmont,0,1,1
1990,steelmagnolias,0,1,1
1992,strings,0,1,1
1990,sexliesandvideotape,0,1,1
1992,theaddamsfamily,0,1,1
1992,thecommitments,0,1,1
1992,theelementaryschool,0,1,1
1992,raisetheredlantern,0,1,1
1990,thebear,0,1,1
1995,truelies,0,1,1
1995,wyattearp,0,1,1
1992,memoriallettersfromamericansoldiers,0,1,1
1990,thechildeater,0,1,1
1990,thecow,0,1,1
1992,madamebovary,0,1,1
1996,waterworld,0,1,1
1990,thehillfarm,0,1,1
1996,seven,0,1,1
1991,agranddayout,0,1,1
1990,lethalweapon2,0,1,1
1996,gagarin,0,1,1
1996,dukeofgroove,0,1,1
1991,thefield,0,1,1
1996,dustoflife,0,1,1
1991,senzeninawhathavewedone,0,1,1
1996,fiddlefestrobertatzavarasandhereastharlemviolinprogram,0,1,1
1991,rosekennedyalifetoremember,0,1,1
1996,georgia,0,1,1
1992,alittlevicious,0,1,1
1991,prettywoman,0,1,1
1992,birchstreetgym,0,1,1
1992,birdnestersofthailandakashadowhunters,0,1,1
1996,hankaaronchasingthedream,0,1,1
1991,opendoors,0,1,1
1996,donjuandemarco,0,1,1
1991,thenastygirl,0,1,1
1991,alice,0,1,1
1991,younggunsii,0,1,1
1996,brooms,0,1,1
1991,wildatheart,0,1,1
1996,casino,0,1,1
1991,waldosaltascreenwritersjourney,0,1,1
1996,jimdineaselfportraitonthewalls,0,1,1
1992,blackfly,0,1,1
1991,daysofthunder,0,1,1
1991,foreveractivistsstoriesfromtheveteransoftheabrahamlincolnbrigade,0,1,1
1991,flatliners,0,1,1
1991,edwardscissorhands,0,1,1
1996,runawaybrain,0,1,1
1992,childrenofnature,0,1,1
1991,dearrosie,0,1,1
1991,chimpssolikeus,0,1,1
1991,mrmrsbridge,0,1,1
1991,burningdowntomorrow,0,1,1
1991,buildingbombs,0,1,1
1991,bronxcheers,0,1,1
1992,deathonthejob,0,1,1
1991,berkeleyinthesixties,0,1,1
1996,roommates,0,1,1
1991,grasshopperscavallette,0,1,1
1996,robroy,0,1,1
1991,greencard,0,1,1
1996,oquatrilho,0,1,1
1991,havana,0,1,1
1991,henryjune,0,1,1
1996,nevergiveupthe20thcenturyodysseyofherbertzipper,0,1,1
1996,myfamilymifamilia,0,1,1
1991,journeyintolifetheworldoftheunborn,0,1,1
1996,mrhollandsopus,0,1,1
1991,judou,0,1,1
1991,longtimecompanion,0,1,1
1991,metropolitan,0,1,1
1996,littlesurprises,0,1,1
1994,sixdegreesofseparation,0,1,1
1990,jesusofmontreal,0,1,1
1989,bulldurham,0,1,1
1997,suzannefarrellelusivemuse,0,1,1
1997,specialeffects,0,1,1
1989,technologicalthreat,0,1,1
1989,sunset,0,1,1
1997,startrekfirstcontact,0,1,1
1989,standanddeliver,0,1,1
1989,tequilasunrise,0,1,1
1989,scrooged,0,1,1
1989,salaambombay,0,1,1
1997,tellthetruthandrungeorgeseldesandtheamericanpress,0,1,1
1997,thatthingyoudo,0,1,1
1997,thebirdcage,0,1,1
1993,changingourmindsthestoryofdrevelynhooker,0,1,1
1997,sleepers,0,1,1
1989,thecatcameback,0,1,1
1997,marvinsroom,0,1,1
1997,prisonerofthemountains,0,1,1
1995,queenmargot,0,1,1
1997,onefineday,0,1,1
1993,alien3,0,1,1
1997,primalfear,0,1,1
1989,themusicteacher,0,1,1
1989,thelasttemptationofchrist,0,1,1
1997,ridicule,0,1,1
1993,beyondimaginingmargaretandersonandthelittlereview,0,1,1
1993,attheedgeofconquestthejourneyofchiefwaiwai,0,1,1
1995,nell,0,1,1
1995,maverick,0,1,1
1995,maryshelleysfrankenstein,0,1,1
1989,thecryofreasonbeyersnaudanafrikanerspeaksout,0,1,1
1989,thechildrensstorefront,0,1,1
1989,promisestokeep,0,1,1
1993,closetoeden,0,1,1
1997,thefirstwivesclub,0,1,1
1997,williamshakespearesromeojuliet,0,1,1
1997,trainspotting,0,1,1
1993,damage,0,1,1
1989,familygathering,0,1,1
1993,firesofkuwait,0,1,1
1997,upcloseandpersonal,0,1,1
1997,watspig,0,1,1
1997,wordless,0,1,1
1993,contact,0,1,1
1995,heavenlycreatures,0,1,1
1995,freedomonmymind,0,1,1
1993,glengarryglenross,0,1,1
1989,cadillacdreams,0,1,1
1989,buster,0,1,1
1989,gangcops,0,1,1
1989,gullahtales,0,1,1
1989,hanussen,0,1,1
1989,letsgetlost,0,1,1
1997,thewildbunchanalbuminmontage,0,1,1
1997,therock,0,1,1
1993,daens,0,1,1
1997,thepreacherswife,0,1,1
1995,hoopdreams,0,1,1
1989,marriedtothemob,0,1,1
1997,theothersideofsunday,0,1,1
1989,portraitofimogen,0,1,1
1995,junior,0,1,1
1997,thelinekingthealhirschfeldstory,0,1,1
1997,thehunchbackofnotredame,0,1,1
1993,adam,0,1,1
1992,themarkofthemaker,0,1,1
1997,cosmicvoyage,0,1,1
1990,crackusacountyundersiege,0,1,1
1997,daylight,0,1,1
1990,chancesare,0,1,1
1997,detripascorazon,0,1,1
1990,blaze,0,1,1
1997,canhead,0,1,1
1990,backtothefuturepartii,0,1,1
1990,amazondiary,0,1,1
1990,adrywhiteseason,0,1,1
1990,adamclaytonpowell,0,1,1
1990,dad,0,1,1
1997,breakingthewaves,0,1,1
1989,whokilledvincentchin,0,1,1
1990,forallmankind,0,1,1
1990,harlemnights,0,1,1
1995,thepaper,0,1,1
1992,theox,0,1,1
1992,therestlessconscience,0,1,1
1990,finefoodfinepastriesopen6to9,0,1,1
1995,themask,0,1,1
1997,achefinlove,0,1,1
1992,wildbylaw,0,1,1
1997,anessayonmatisse,0,1,1
1997,angelsandinsects,0,1,1
1995,themonkandthefish,0,1,1
1997,dragonheart,0,1,1
1997,lasalla,0,1,1
1995,thebigstory,0,1,1
1997,jamesandthegiantpeach,0,1,1
1995,strawberryandchocolate,0,1,1
1997,lonestar,0,1,1
1989,womenonthevergeofanervousbreakdown,0,1,1
1995,straightfromtheheart,0,1,1
1997,mandela,0,1,1
1995,schoolofassassins,0,1,1
1997,flyawayhome,0,1,1
1995,theclient,0,1,1
1997,esposados,0,1,1
1997,ernstlyset,0,1,1
1997,eraser,0,1,1
1995,thejanitor,0,1,1
1990,musicbox,0,1,1
1999,babepiginthecity,0,1,1
2016,dayone,0,1,1
2016,joy,0,1,1
2016,fiftyshadesofgrey,0,1,1
2016,everythingwillbeokayalleswirdgut,0,1,1
2016,embraceoftheserpent,0,1,1
2016,creed,0,1,1
2016,avemaria,0,1,1
2016,claudelanzmannspectresoftheshoah,0,1,1
2016,cinderella,0,1,1
2016,chaubeyondthelines,0,1,1
2016,cartelland,0,1,1
2016,boyandtheworld,0,1,1
2016,bodyteam12,0,1,1
2016,lastdayoffreedom,0,1,1
2016,mustang,0,1,1
2016,prologue,0,1,1
2016,racingextinction,0,1,1
2016,sanjayssuperteam,0,1,1
2016,shaunthesheepmovie,0,1,1
2016,shok,0,1,1
2016,straightouttacompton,0,1,1
2016,the100yearoldmanwhoclimbedoutthewindowanddisappeared,0,1,1
2016,theeb,0,1,1
2016,thehuntingground,0,1,1
2016,thelookofsilence,0,1,1
2016,trumbo,0,1,1
2016,wecantlivewithoutcosmos,0,1,1
2016,whathappenedmisssimone,0,1,1
2016,whenmarniewasthere,0,1,1
2016,winteronfireukrainesfightforfreedom,0,1,1
2016,awar,0,1,1
2016,anomalisa,0,1,1
2016,youth,0,1,1
2015,thejudge,0,1,1
2015,twodaysonenight,0,1,1
2015,timbuktu,0,1,1
2015,thetaleoftheprincesskaguya,0,1,1
2015,thesaltoftheearth,0,1,1
2015,thereaperlaparka,0,1,1
2015,thelegomovie,0,1,1
2015,thehobbitthebattleofthefivearmies,0,1,1
2016,45years,0,1,1
2015,thedamkeeper,0,1,1
2015,theboxtrolls,0,1,1
2015,thebiggerpicture,0,1,1
2015,tangerines,0,1,1
2015,songofthesea,0,1,1
2015,virunga,0,1,1
2015,whiteearth,0,1,1
2015,wildtales,0,1,1
2015,xmendaysoffuturepast,0,1,1
2016,worldoftomorrow,0,1,1
1999,beloved,0,1,1
2017,startrekbeyond,0,1,1
2017,timecode,0,1,1
2017,theredturtle,0,1,1
2017,thelobster,0,1,1
2017,theemptychair,0,1,1
2017,tanna,0,1,1
2017,sully,0,1,1
2017,silentnights,0,1,1
2017,lifeanimated,0,1,1
2017,silence,0,1,1
2017,pearl,0,1,1
2017,pearciderandcigarettes,0,1,1
2017,nocturnalanimals,0,1,1
2017,mylifeasazucchini,0,1,1
2017,moana,0,1,1
2017,tonierdmann,0,1,1
2017,watanimyhomeland,0,1,1
2018,abacussmallenoughtojail,0,1,1
2018,allthemoneyintheworld,0,1,1
2018,dekalbelementary,0,1,1
2017,loving,0,1,1
2017,landofmine,0,1,1
2017,20thcenturywomen,0,1,1
2017,13th,0,1,1
2017,13hoursthesecretsoldiersofbenghazi,0,1,1
2017,lafemmeetletgv,0,1,1
2017,41miles,0,1,1
2017,allied,0,1,1
2017,auditionthefoolswhodream,0,1,1
2017,blindvaysha,0,1,1
2017,borrowedtime,0,1,1
2017,cantstopthefeeling,0,1,1
2017,captainfantastic,0,1,1
2017,doctorstrange,0,1,1
2017,elle,0,1,1
2017,ennemisintrieurs,0,1,1
2017,extremis,0,1,1
2017,fireatsea,0,1,1
2017,hailcaesar,0,1,1
2017,howfarillgo,0,1,1
2017,iamnotyournegro,0,1,1
2017,joesviolin,0,1,1
2015,parvaneh,0,1,1
2015,ourcurse,0,1,1
2015,nightcrawler,0,1,1
2013,deathofashadowdoodvaneenschaduw,0,1,1
2013,howtosurviveaplague,0,1,1
2013,hitchcock,0,1,1
2013,henry,0,1,1
2013,headoverheels,0,1,1
2013,freshguacamole,0,1,1
2013,frankenweenie,0,1,1
2013,chasingice,0,1,1
2013,buzkashiboys,0,1,1
2013,asad,0,1,1
2013,aroyalaffair,0,1,1
2013,adamanddog,0,1,1
2013,5brokencameras,0,1,1
2013,kingspoint,0,1,1
2013,kontiki,0,1,1
2013,maggiesimpsoninthelongestdaycare,0,1,1
2013,marvelstheavengers,0,1,1
2013,mirrormirror,0,1,1
2013,mondaysatracine,0,1,1
2013,moonrisekingdom,0,1,1
2013,no,0,1,1
2013,openheart,0,1,1
2013,paranorman,0,1,1
2013,prometheus,0,1,1
2013,redemption,0,1,1
2013,ted,0,1,1
2013,thegatekeepers,0,1,1
2013,theimpossible,0,1,1
2013,theinvisiblewar,0,1,1
2013,thepiratesbandofmisfits,0,1,1
2015,meandmymoulton,0,1,1
2012,monsieurlazhar,0,1,1
2012,realsteel,0,1,1
2012,raju,0,1,1
2012,pussinboots,0,1,1
2012,pina,0,1,1
2012,pentecost,0,1,1
2012,paradiselost3purgatory,0,1,1
2012,margincall,0,1,1
2012,laluna,0,1,1
2012,kungfupanda2,0,1,1
2012,janeeyre,0,1,1
2012,indarkness,0,1,1
2012,incidentinnewbaghdad,0,1,1
2012,ifatreefallsastoryoftheearthliberationfront,0,1,1
2012,rio,0,1,1
2012,riseoftheplanetoftheapes,0,1,1
2012,theadventuresoftintin,0,1,1
2012,thebarberofbirminghamfootsoldierofthecivilrightsmovement,0,1,1
2012,theidesofmarch,0,1,1
2012,thetsunamiandthecherryblossom,0,1,1
2012,timefreak,0,1,1
2012,warrior,0,1,1
2012,we,0,1,1
2012,wildlife,0,1,1
2013,thesessions,0,1,1
2013,warwitch,0,1,1
2013,wreckitralph,0,1,1
2014,thewindrises,0,1,1
2014,thevoormanproblem,0,1,1
2014,thesquare,0,1,1
2014,themissingpicture,0,1,1
2014,theinvisiblewoman,0,1,1
2014,thehunt,0,1,1
2014,thecroods,0,1,1
2015,asinglelife,0,1,1
2015,aya,0,1,1
2015,beginagain,0,1,1
2015,beyondthelights,0,1,1
2015,boogalooandgraham,0,1,1
2015,butterlamplalampeaubeurredeyak,0,1,1
2015,captainamericathewintersoldier,0,1,1
2015,dawnoftheplanetoftheapes,0,1,1
2015,findingvivianmaier,0,1,1
2015,glencampbellillbeme,0,1,1
2015,gonegirl,0,1,1
2015,howtotrainyourdragon2,0,1,1
2015,joanna,0,1,1
2015,lastdaysinvietnam,0,1,1
2015,leviathan,0,1,1
2015,maleficent,0,1,1
2014,thebrokencirclebreakdown,0,1,1
2014,thebookthief,0,1,1
2014,theactofkilling,0,1,1
2014,dirtywars,0,1,1
2014,allislost,0,1,1
2014,aquelnoerayothatwasntme,0,1,1
2014,avantquedetoutperdrejustbeforelosingeverything,0,1,1
2014,beforemidnight,0,1,1
2014,cavedigger,0,1,1
2014,cutieandtheboxer,0,1,1
2014,ernestcelestine,0,1,1
2014,startrekintodarkness,0,1,1
2014,facingfear,0,1,1
2014,feral,0,1,1
2014,getahorse,0,1,1
2014,ironman3,0,1,1
2014,jackasspresentsbadgrandpa,0,1,1
2014,karamahasnowalls,0,1,1
2014,mandelalongwalktofreedom,0,1,1
2014,omar,0,1,1
2014,pitkmunkaikkihoitaadoihavetotakecareofeverything,0,1,1
2014,possessions,0,1,1
