id,title_en,film_title_cleaned,year,film_age,rank,rating,num_votes,num_votes_rank,director,actor1,actor2,collaboration1,collaboration2
tt0057565,High and Low,highandlow,1963,60,86,8.3,47589,248,Akira Kurosawa, Toshirô Mifune,Yutaka Sada,Akira Kurosawa -  Toshirô Mifune - 4,Akira Kurosawa - Yutaka Sada - 1
tt0435761,Toy Story 3,toystory3,2010,13,87,8.3,853107,77,Lee Unkrich, Tom Hanks,Tim Allen,Lee Unkrich -  Tom Hanks - 1,Lee Unkrich - Tim Allen - 1
tt8267604,Capernaum,capernaum,2018,5,88,8.3,94713,233,Nadine Labaki, Zain Al Rafeea,Yordanos Shiferaw,Nadine Labaki -  Zain Al Rafeea - 1,Nadine Labaki - Yordanos Shiferaw - 1
tt0086190,Star Wars: Episode VI - Return of the Jedi,starwarsepisodevireturnofthejedi,1983,40,89,8.3,1075037,47,Richard Marquand, Mark Hamill,Harrison Ford,Richard Marquand -  Mark Hamill - 1,Richard Marquand - Harrison Ford - 1
tt0062622,2001: A Space Odyssey,2001aspaceodyssey,1968,55,90,8.3,683749,105,Stanley Kubrick, Keir Dullea,Gary Lockwood,Stanley Kubrick -  Keir Dullea - 1,Stanley Kubrick - Gary Lockwood - 1
tt0338013,Eternal Sunshine of the Spotless Mind,eternalsunshineofthespotlessmind,2004,19,91,8.3,1029117,53,Michel Gondry, Jim Carrey,Kate Winslet,Michel Gondry -  Jim Carrey - 1,Michel Gondry - Kate Winslet - 1
tt0091251,Come and See,comeandsee,1985,38,92,8.3,85321,237,Elem Klimov, Aleksey Kravchenko,Olga Mironova,Elem Klimov -  Aleksey Kravchenko - 1,Elem Klimov - Olga Mironova - 1
tt0105236,Reservoir Dogs,reservoirdogs,1992,31,93,8.3,1040659,52,Quentin Tarantino, Harvey Keitel,Tim Roth,Quentin Tarantino -  Harvey Keitel - 1,Quentin Tarantino - Tim Roth - 1
tt2106476,The Hunt,thehunt,2012,11,94,8.3,340337,159,Thomas Vinterberg, Mads Mikkelsen,Thomas Bo Larsen,Thomas Vinterberg -  Mads Mikkelsen - 1,Thomas Vinterberg - Thomas Bo Larsen - 1
tt0056172,Lawrence of Arabia,lawrenceofarabia,1962,61,95,8.2,300471,166,David Lean, Peter O'Toole,Alec Guinness,David Lean -  Peter O'Toole - 1,David Lean - Alec Guinness - 2
tt0033467,Citizen Kane,citizenkane,1941,82,96,8.2,449846,135,Orson Welles, Orson Welles,Joseph Cotten,Orson Welles -  Orson Welles - 1,Orson Welles - Joseph Cotten - 1
tt0022100,M,m,1931,92,97,8.2,161405,213,Fritz Lang, Peter Lorre,Ellen Widmann,Fritz Lang -  Peter Lorre - 1,Fritz Lang - Ellen Widmann - 1
tt0044741,Ikiru,ikiru,1952,71,98,8.2,81535,238,Akira Kurosawa, Takashi Shimura,Nobuo Kaneko,Akira Kurosawa -  Takashi Shimura - 1,Akira Kurosawa - Nobuo Kaneko - 1
tt0053125,North by Northwest,northbynorthwest,1959,64,99,8.2,333988,162,Alfred Hitchcock, Cary Grant,Eva Marie Saint,Alfred Hitchcock -  Cary Grant - 1,Alfred Hitchcock - Eva Marie Saint - 1
tt0052357,Vertigo,vertigo,1958,65,100,8.2,410149,145,Alfred Hitchcock, James Stewart,Kim Novak,Alfred Hitchcock -  James Stewart - 2,Alfred Hitchcock - Kim Novak - 1
tt0053604,The Apartment,theapartment,1960,63,101,8.2,186199,198,Billy Wilder, Jack Lemmon,Shirley MacLaine,Billy Wilder -  Jack Lemmon - 1,Billy Wilder - Shirley MacLaine - 1
tt0211915,Amélie,amlie,2001,22,102,8.2,768540,91,Jean-Pierre Jeunet, Audrey Tautou,Mathieu Kassovitz,Jean-Pierre Jeunet -  Audrey Tautou - 1,Jean-Pierre Jeunet - Mathieu Kassovitz - 1
tt0036775,Double Indemnity,doubleindemnity,1944,79,103,8.2,160532,214,Billy Wilder, Fred MacMurray,Barbara Stanwyck,Billy Wilder -  Fred MacMurray - 1,Billy Wilder - Barbara Stanwyck - 1
tt0066921,A Clockwork Orange,aclockworkorange,1971,52,104,8.2,846212,79,Stanley Kubrick, Malcolm McDowell,Patrick Magee,Stanley Kubrick -  Malcolm McDowell - 1,Stanley Kubrick - Patrick Magee - 1
tt0093058,Full Metal Jacket,fullmetaljacket,1987,36,105,8.2,757083,95,Stanley Kubrick, Matthew Modine,R. Lee Ermey,Stanley Kubrick -  Matthew Modine - 1,Stanley Kubrick - R. Lee Ermey - 1
tt0086250,Scarface,scarface,1983,40,106,8.2,863628,73,Brian De Palma, Al Pacino,Michelle Pfeiffer,Brian De Palma -  Al Pacino - 1,Brian De Palma - Michelle Pfeiffer - 1
tt1255953,Incendies,incendies,2010,13,107,8.2,183286,199,Denis Villeneuve, Lubna Azabal,Mélissa Désormeaux-Poulin,Denis Villeneuve -  Lubna Azabal - 1,Denis Villeneuve - Mélissa Désormeaux-Poulin - 1
tt8503618,Hamilton,hamilton,2020,3,108,8.2,100841,231,Thomas Kail, Lin-Manuel Miranda,Phillipa Soo,Thomas Kail -  Lin-Manuel Miranda - 1,Thomas Kail - Phillipa Soo - 1
tt0113277,Heat,heat,1995,28,109,8.2,672367,108,Michael Mann, Al Pacino,Robert De Niro,Michael Mann -  Al Pacino - 1,Michael Mann - Robert De Niro - 1
tt1049413,Up,up,2009,14,110,8.2,1066682,48,Pete Docter, Edward Asner,Jordan Nagai,Pete Docter -  Edward Asner - 1,Pete Docter - Jordan Nagai - 1
tt0056592,To Kill a Mockingbird,tokillamockingbird,1962,61,111,8.2,321718,164,Robert Mulligan, Gregory Peck,John Megna,Robert Mulligan -  Gregory Peck - 1,Robert Mulligan - John Megna - 1
tt0070735,The Sting,thesting,1973,50,112,8.2,269087,173,George Roy Hill, Paul Newman,Robert Redford,George Roy Hill -  Paul Newman - 1,George Roy Hill - Robert Redford - 1
tt1832382,A Separation,aseparation,2011,12,113,8.2,249098,177,Asghar Farhadi, Payman Maadi,Leila Hatami,Asghar Farhadi -  Payman Maadi - 1,Asghar Farhadi - Leila Hatami - 1
