id,rank,title_en,year,rating,persons
tt0364569,71,Oldboy,(2003),"8.3 based on 594,430 user ratings","Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
tt0086879,72,Amadeus,(1984),"8.3 based on 408,958 user ratings","Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
tt2380307,73,Coco,(2017),"8.3 based on 531,359 user ratings","Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
tt0114709,74,Toy Story,(1995),"8.3 based on 1,015,342 user ratings","John Lasseter (dir.), Tom Hanks, Tim Allen"
tt0112573,75,Braveheart,(1995),"8.3 based on 1,053,854 user ratings","Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
tt7286456,76,Joker,(2019),"8.3 based on 1,347,618 user ratings","Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
tt0082096,77,Das Boot,(1981),"8.3 based on 255,214 user ratings","Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
tt4154796,78,Avengers: Endgame,(2019),"8.3 based on 1,174,238 user ratings","Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
tt0119698,79,Princess Mononoke,(1997),"8.3 based on 405,511 user ratings","Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
tt0119217,80,Good Will Hunting,(1997),"8.3 based on 1,000,433 user ratings","Gus Van Sant (dir.), Robin Williams, Matt Damon"
tt0087843,81,Once Upon a Time in America,(1984),"8.3 based on 359,390 user ratings","Sergio Leone (dir.), Robert De Niro, James Woods"
tt5311514,82,Your Name.,(2016),"8.3 based on 284,750 user ratings","Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
tt0045152,83,Singin' in the Rain,(1952),"8.3 based on 248,349 user ratings","Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
tt1187043,84,3 Idiots,(2009),"8.3 based on 409,885 user ratings","Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
tt0180093,85,Requiem for a Dream,(2000),"8.3 based on 859,783 user ratings","Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
tt0057565,86,High and Low,(1963),"8.3 based on 47,571 user ratings","Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
tt0435761,87,Toy Story 3,(2010),"8.3 based on 852,998 user ratings","Lee Unkrich (dir.), Tom Hanks, Tim Allen"
tt8267604,88,Capernaum,(2018),"8.3 based on 94,666 user ratings","Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
tt0086190,89,Star Wars: Episode VI - Return of the Jedi,(1983),"8.3 based on 1,074,863 user ratings","Richard Marquand (dir.), Mark Hamill, Harrison Ford"
tt0062622,90,2001: A Space Odyssey,(1968),"8.3 based on 683,648 user ratings","Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
tt0338013,91,Eternal Sunshine of the Spotless Mind,(2004),"8.3 based on 1,028,984 user ratings","Michel Gondry (dir.), Jim Carrey, Kate Winslet"
tt0091251,92,Come and See,(1985),"8.3 based on 85,299 user ratings","Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
tt0105236,93,Reservoir Dogs,(1992),"8.3 based on 1,040,512 user ratings","Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
tt2106476,94,The Hunt,(2012),"8.3 based on 340,264 user ratings","Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
tt0056172,95,Lawrence of Arabia,(1962),"8.2 based on 300,428 user ratings","David Lean (dir.), Peter O'Toole, Alec Guinness"
tt0033467,96,Citizen Kane,(1941),"8.2 based on 449,802 user ratings","Orson Welles (dir.), Orson Welles, Joseph Cotten"
tt0022100,97,M,(1931),"8.2 based on 161,395 user ratings","Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
tt0044741,98,Ikiru,(1952),"8.2 based on 81,522 user ratings","Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
